sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,GROUP,BASEMAT,Composition_by_element,Composition_detailed,"mat_dimension(bulk, film, 1D, 2D)",SINTERING
87,2010.0,https://doi.org/10.1063/1.3517088,10.1063/1.3517088,Figure 8,Sb0.10,Sb0.10 for Pb1-xSbxTe alloys,PbTe,PbTe,PbSbTe,Pb0.9Sb0.1Te,Bulk,
88,2013.0,https://doi.org/10.1007/s11664-013-2832-4,10.1007/s11664-013-2832-4,Figure 13(f),5 at.-% Bi,"5 at.-% Bi, Bix(PbTe)1-x",PbTe,PbTe,PbTeBi,PbTe + 5 at% Bi,Bulk,HP
89,2015.0,https://doi.org/10.1016/j.jallcom.2015.03.117,10.1016/j.jallcom.2015.03.117,Figure 5,x= 0.03,"x = 0.03 (blue, triangle)",Selenide,PbSe,AgSbPbSe,(AgSb)0.03Pb0.94Se,Bulk,HP
90,2013.0,https://doi.org/10.1021/nl400319u,10.1021/nl400319u,Figure 4E,PbTe/Bi2Te3 = 27:1,The red dot curves and the red bars stand for the PbTe/Bi2Te3 = 27:1 sampl,PbTe,PbTe,PbTe BiTe,PbTe:Bi2Te3=27:1 barbell nanowire,Bulk,HP
91,2013.0,https://doi.org/10.1103/PhysRevB.87.045203,10.1103/PhysRevB.87.045203,Figure 6,x= 0.08,"x = 0.08 (FIG 6), green triangle",PbTe,PbTe,PbNaTeS,Pb0.99Na0.01Te0.92S0.08,Bulk,
97,2013.0,https://doi.org/10.1016/j.jallcom.2012.08.041,10.1016/j.jallcom.2012.08.041,Figure 3(g),x=0.001,x = 0.001 (red dot),PbTe,PbTe,BiPbTe PbS,(Bi0.001Pb0.999Te)0.88(PbS)0.12,Bulk,SPS
99,2013.0,https://doi.org/10.1016/j.intermet.2013.04.018,10.1016/j.intermet.2013.04.018,Figure 7,Annealed for 20h,Annealed for 20h,PbTe,PbTe,PbTe SbTe,PbTe-Sb2Te3 alloy (Pb2Sb6Te11),Bulk,
100,2012.0,https://doi.org/10.1002/adfm.201201221,10.1002/adfm.201201221,Figure 1(e),PbTe-BaTe(3%),PbTe-BaTe(3%),PbTe,PbTe,PbTe BaTe Na2Te,PbTe + 3mol% BaTe +1mol% Na2Te,Bulk,
101,2013.0,https://doi.org/10.1016/j.jallcom.2013.01.038,10.1016/j.jallcom.2013.01.038,Figure 8,y=0.4,y = 0.4,PbTe,PbTe,PbTe LaCeFeCoSb,(La0.3Ce0.37Fe3CoSb12)0.6(PbTe)0.4,Bulk,HP
103,2011.0,https://doi.org/10.1039/c0ee00456a,10.1039/c0ee00456a,Figure 4,9e19,9e19,PbTe,PbTe,NaPbTe,NaxPb1-xTe (0.5% < x < 2%),Bulk,HP
104,2011.0,https://doi.org/10.1002/adfm.201000878,10.1002/adfm.201000878,Figure 10,La3,La3,PbTe,PbTe,PbTeLa AgTe,(La0.028Pb0.972Te)0.947(Ag2Te)0.053,Bulk,HP
105,2011.0,https://doi.org/10.1002/aenm.201000072,10.1002/aenm.201000072,Figure 5(b),x=3.0%,"x=3.0%, (AgxPbTe)0.945(Ag2Te)0.055",PbTe,PbTe,AgPbTe AgTe,(Ag0.03PbTe)0.945(Ag2Te)0.055,Bulk,HP
106,2011.0,https://doi.org/10.1002/adma.201103153,10.1002/adma.201103153,Figure 1,9.0e19,9.0e19,PbTe,PbTe,NaMgPbTe,Na0.02Mg0.03Pb0.95Te,Bulk,HP
108,2012.0,https://doi.org/10.1038/am.2012.52,10.1038/am.2012.52,Figure 4,x = 0.04,x = 0.04 (Figure 4),PbTe,PbTe,PbMnTe,Pb0.96Mn0.04Te : Na,Bulk,HP
109,2014.0,https://doi.org/10.1002/aenm.201400486,10.1002/aenm.201400486,Figure 3(d),2.3 e19,,PbTe,PbTe,PbLaTe,Pb1-xLaxTe (0<x<0.01),Bulk,HP
111,2013.0,https://doi.org/10.1088/0957-4484/24/21/215401,10.1088/0957-4484/24/21/215401,Figure 14,x=0.05 mol% Pbi2,PbSe0.6Te0.5:x(PbI2),PbTe,PbTe,PbSeTe PbI,PbSe0:5Te0:5 + 0.05mol% PbI2,Bulk,
112,2013.0,https://doi.org/10.1039/c3ta11825h,10.1039/c3ta11825h,Figure 7(g),100MPa-1.5h,Pb0.98Na0.02Te,PbTe,PbTe,PbNaTe,Pb0.98Na0.02Te,Bulk,HP
115,2014.0,https://doi.org/10.1038/ncomms5515,10.1038/ncomms5515,Figure 2,2.5% K-doped PbTe0.7Se0.3,2.5% K-doped PbTe0.7S0.3,PbTe,PbTe,PbTeS K,PbTe0.7S0.3 + 2.5mol% K,Bulk,SPS
118,2015.0,https://doi.org/10.1021/nl504624r,10.1021/nl504624r,Figure 4,PbTe-Ag2Te,,PbTe,PbTe,PbTe AgTe,"PbTe−Ag2Te nanocomposites,",Bulk,HP
119,2011.0,https://doi.org/10.1021/nl201206d,10.1021/nl201206d,Figure 1(f),modulation,twophase nanocomposite sample (Si80Ge20)70(Si100B5)30,SiGe,SiGe,SiGeB,(Si80Ge20)70(Si100B5)30,Bulk,
121,2012.0,https://doi.org/10.1039/c1ee02465e,10.1039/c1ee02465e,Figure 4(c),x=0.01,"x=0.01, PbSe:Alx",Selenide,PbSe,PbSe Al,PbSe:Al0.01,Bulk,HP
123,2013.0,https://doi.org/10.1088/0957-4484/24/34/345705,10.1088/0957-4484/24/34/345705,Figure 5,Al0.03PbTe,Al0.03PbTe,PbTe,PbTe,AlPbTe,Al0:03PbTe,Bulk,HP
126,2015.0,https://doi.org/10.1021/cm504112m,10.1021/cm504112m,Figure 8,Sn0.94Mg0.09Te,,Telluride,SnTe,SnMgTe,Sn0.94Mg0.09Te,Bulk,
127,2016.0,https://doi.org/10.1021/jacs.6b08382,10.1021/jacs.6b08382,Figure 7,SnAg0.025In0.025Te1.05,,Telluride,SnTe,SnAgInTe,SnAg0.025In0.025Te1.05,Bulk,
128,2015.0,https://doi.org/10.1016/j.jssc.2016.02.012,10.1016/j.jssc.2016.02.012,Figure 7,Sn0.95Ag0.05Te0.95I0.05,,Telluride,SnTe,SnAgTeI,Sn0.95Ag0.05Te0.95I0.05,Bulk,
132,2016.0,https://doi.org/10.1002/aelm.201600019,10.1002/aelm.201600019,Figure 7,x = 0.06,(SnTe)(1-x)(Cu2Te)(x),Telluride,SnTe,SnCuTe,Sn0.94Cu0.12Te,Bulk,HP
134,2015.0,https://doi.org/10.1021/jacs.5b00837,10.1021/jacs.5b00837,Figure 8,x = 3,Sn0.97In0.015Cd0.015Te-x%CdS,Telluride,SnTe,SnInCdTe CdS,Sn0.97In0.015Cd0.015Te + 3% CdS,Bulk,SPS
136,2016.0,https://doi.org/10.1021/jacs.6b07010,10.1021/jacs.6b07010,Figure 7(d),along the pressing direction (//),SnSe+1%PbSe,Selenide,SnSe,SnSe PbSe,SnSe + 1% PbSe,Bulk,SPS
137,2015.0,https://doi.org/10.1016/S1002-0721(14)60543-3,10.1016/S1002-0721(14)60543-3,Figure 3(d),Sn50Te50,,Telluride,SnTe,SnTe,SnTe,Bulk,SPS
138,2013.0,https://doi.org/10.1073/pnas.1305735110,10.1073/pnas.1305735110,Figure 8,x = 0.0025,,Telluride,SnTe,InSnTe,In0.0025Sn0.9975Te,Bulk,HP
141,2015.0,https://doi.org/10.1039/c5cp05151g,10.1039/c5cp05151g,Figure 7(j),Ag0.016Sn0.984Se,Ag0.016Sn0.984Se,Selenide,SnSe,AgSnSe,Ag0.016Sn0.984Se,,
142,2015.0,https://doi.org/10.1021/jacs.5b07856,10.1021/jacs.5b07856,"Figure 3, middle column","with precipitates, cooling",(CoGe2)0.2(GeTe)17Sb2Te3,GeTe,GeTe,CoGe GeTe SbTe,(CoGe2)0.2(GeTe)17Sb2Te3,Bulk,
143,2007.0,https://doi.org/10.1016/j.physb.2007.02.067,10.1016/j.physb.2007.02.067,Figure 11,0.03%In,"after 250 h annealing at 600 1CatAr atmosphere, for Pb0.5Sn0.5Te doped with 0.03at% indium",PbTe,PbTe,PbSnTe In,Pb0.5Sn0.5Te + 0.03at% In,Bulk,
144,2007.0,https://doi.org/10.1016/j.physb.2006.10.001,10.1016/j.physb.2006.10.001,Figure 16,x=0.5***,,PbTe,PbTe,PbSnTe,Pb0.5Sn0.5Te + Te,Bulk,
145,2010.0,https://doi.org/10.1021/jp103697s,10.1021/jp103697s,Figure 11,solution treated (ST),,GeTe,GeTe,GeSnPbTe,Ge0.6Sn0.1Pb0.3Te,Bulk,SPS
146,2015.0,https://doi.org/10.1002/aelm.201500228,10.1002/aelm.201500228,Figure 3(d),ii,,GeTe,GeTe,GeTe BiTe Cu,(GeTe)0.95(BiTe)0.05 + 0.67at% Cu,Bulk,HP
147,2016.0,https://doi.org/10.1007/s11664-015-4251-1,10.1007/s11664-015-4251-1,Figure 9,TAGS-R400h10+10,,GeTe,GeTe,GeAgSbTe,Ge0.77Ag0.1Sb0.13Te1,Bulk,HP
148,2014.0,https://doi.org/10.1007/s13391-014-4149-8,10.1007/s13391-014-4149-8,Figure 8,x=0.05,Ge0.95Mn0.05Te,GeTe,GeTe,GeMnTe,Ge0.95Mn0.05Te,Bulk,SPS
149,2014.0,https://doi.org/10.1021/ic5010243,10.1021/ic5010243,Figure 5(left),second heating cycle,Ge0.53Ag0.13Sb0.27□0.07Te1,GeTe,GeTe,GeAgSbTe,"Ge0.53Ag0.13Sb0.27□0.07Te1, Ge4AgSb2Te7.5",Bulk,
150,2014.0,https://doi.org/10.1039/c4ta00072b,10.1039/c4ta00072b,Figure 8,heating curves,(GeTe)5.5AgIn0.5Sb0.5Te2,GeTe,GeTe,GeTe AgInSbTe,(GeTe)5.5AgIn0.5Sb0.5Te2,Bulk,
153,2010.0,https://doi.org/10.1557/PROC-1267-DD04-11,10.1557/PROC-1267-DD04-11,Figure 6,x=0.05,x=0.05,AgSbQ2,ABQ2,AgSbTe PbGeTe,(Ag0.5Sb0.5Te)0.95(Pb0.16Ge0.84Te)0.05,Bulk,
154,2012.0,https://doi.org/10.1088/0022-3727/45/11/115302,10.1088/0022-3727/45/11/115302,Figure 5,2% GeTe,2% GeTe,AgSbQ2,ABQ2,AgSbTe GeTe,(Ag0.366Sb0.558Te)0.98(GeTe)0.02,Bulk,
155,2009.0,https://doi.org/10.1063/1.3138803,10.1063/1.3138803,Figure 6,LAST-18,LAST-18,PbTe,PbTe,AgPbSbTe,AgPb18SbTe20,Bulk,
157,2014.0,https://doi.org/10.1007/s11664-014-3076-7,10.1007/s11664-014-3076-7,Figure 6,x=0.000,x=0.000,AgSbQ2,ABQ2,AgSbTe,AgSbTe2.01,Bulk,SPS
159,2015.0,https://doi.org/10.1039/C5TC01429H,10.1039/C5TC01429H,Figure 4,AgSb0.99Se2,AgSb0.99Se2,AgSbQ2,ABQ2,AgSbSe,AgSb0.99Se2,Bulk,
160,2012.0,https://doi.org/10.1002/aenm.201100613,10.1002/aenm.201100613,Figure 6,m=4,m=4,Telluride,ABQ2,AgSnSbTe,AgSn4SbTe6,Bulk,
161,2012.0,https://doi.org/10.1088/1674-1056/21/10/106101,10.1088/1674-1056/21/10/106101,Figure 5,x=0.10,x=0.10,AgSbQ2,ABQ2,AgSbMnTe,Ag0.9Sb1.0Mn0.1Te2.05,Bulk,SPS
163,2016.0,https://doi.org/10.1063/1.4963779,10.1063/1.4963779,Figure 6,x=0.015,x=0.015,AgSbQ2,ABQ2,AgBiSe In,Ag0.985In0.015BiSe2,Bulk,
164,2014.0,https://doi.org/10.1063/1.4896435,10.1063/1.4896435,Figure 5,x=0.03,x=0.03,AgSbQ2,ABQ2,AgSbSbTe,AgSb0.97Sn0.03Te2,Bulk,
166,2008.0,https://doi.org/10.1063/1.3029774,10.1063/1.3029774,Figure 4(b),AST5050,AST5050,AgSbQ2,ABQ2,AgSbTe,AgSbTe2,Bulk,SPS
167,2015.0,https://doi.org/10.1016/j.actamat.2015.04.011,10.1016/j.actamat.2015.04.011,Figure 1,40Te (S),40Te (S),AgSbQ2,ABQ2,AgSbSeTe,Ag25Sb25Se10Te40,Bulk,
168,2010.0,https://doi.org/10.1016/j.jallcom.2010.03.170,10.1016/j.jallcom.2010.03.170,Figure 7(a),x=0.84,x=0.84,AgSbQ2,ABQ2,AgSbTe,Ag0.84Sb1.16Te2.16,Bulk,HP
169,2006.0,https://doi.org/10.2320/matertrans.47.1058,10.2320/matertrans.47.1058,Figure 12,x=0.6,x=0.6,Silicide,Mg2Si,MgSiSn,Mg2Si0.4Sn0.6,Bulk,HP
